 ||| None ||| nan ||| nan
! WWW.POLSKIE-MP3.TK ! polskie ballady rockowe cd1 ||| 2041 ||| 362 ||| 0.0
! WWW.POLSKIE-MP3.TK ! sloma i bebnoluby ||| 291 ||| 25 ||| 0.0
! WWW.POLSKIE-MP3.TK ! starzy sida ||| 2420 ||| 179 ||| 0.0
! WWW.POLSKIE-MP3.TK ! tomek makowiecki ||| 5214 ||| 391 ||| 0.0
! WWW.POLSKIE-MP3.TK ! waco ||| 6933 ||| 299 ||| 0.0
! www.polskie-mp3.tk ! mechanicy szanty ||| 4611 ||| 342 ||| 0.0
!!! ||| 9755399 ||| 550860 ||| 0.638953189649396
!Action Pact! ||| 95618 ||| 8362 ||| 0.0
!NSULT ||| 3414 ||| 186 ||| 0.0
!T.O.O.H.! ||| 368007 ||| 9895 ||| 0.0
!distain ||| 164067 ||| 8379 ||| 0.0
!СлеДы! ||| 6426 ||| 365 ||| 0.0
"E"qual ||| 62472 ||| 9772 ||| 0.0
"GO" Saito, Masae Sakaide ||| 1477 ||| 52 ||| 0.0
"V" ||| 5855 ||| 561 ||| 0.0
"Weird Al" Yankovic ||| 16498274 ||| 672266 ||| 0.6706982120405094
##### ||| 2906697 ||| 57119 ||| 0.27773459058425903
#1 80's Club Hits Remixed ||| 6850 ||| 1336 ||| 0.0
#1 Beatles Now ||| 321312 ||| 50777 ||| 0.25897617771008785
#1 Dads ||| 294234 ||| 38874 ||| 0.21640190815141372
#1 Sick Dubstep Mashup Bass Anthems ||| 510 ||| 263 ||| 0.0
#1 ||| 174359 ||| 19748 ||| 0.10845546625439137
#2 ||| 128792 ||| 16724 ||| 0.08196469089639567
#3 ||| 103878 ||| 12861 ||| 0.040103267530619706
#AVG ||| 13248 ||| 2545 ||| 0.0
$OULS ||| 2809 ||| 127 ||| 0.0
$WAGGOT ||| 82791 ||| 1641 ||| 0.0
$WAGGOT × 音 LIGHT システム ||| 1799 ||| 142 ||| 0.0
$tinkworx ||| 20344 ||| 2537 ||| 0.0
$uicideboy$ ||| 11484311 ||| 94592 ||| 0.35813355429133537
%ÿ þA b a n d o n   A l l   S h i p s ||| 2838 ||| 1 ||| 0.0
& The Centurions ||| 3491 ||| 575 ||| 0.0
& inni ||| 1618 ||| 60 ||| 0.0
&y. ||| 3720 ||| 76 ||| 0.0
'68 Comeback ||| 52580 ||| 7896 ||| 0.0
'68 ||| 295586 ||| 14136 ||| 0.055169066591163954
'Bloodrage' ||| 532 ||| 1 ||| 0.0
'Til Tuesday ||| 822922 ||| 126979 ||| 0.4050639378018414
't Hof van Commerce ||| 360413 ||| 18277 ||| 0.09611775710553733
( D O L C H ) ||| 11390 ||| 403 ||| 0.0
( me llamo ) Sebastián ||| 145366 ||| 6504 ||| 0.0
( www.sertanejodiario.com ) ||| 33635 ||| 3348 ||| 0.0
( www.topseda.ir ) ||| 1451 ||| 50 ||| 0.0
(( > By Funkeiro do Cerra Coral < )) ||| 2552 ||| 442 ||| 0.0
((())) ||| 2487 ||| 1101 ||| 0.0
(((о))) ||| 234302 ||| 8958 ||| 0.0
(((さらうんど))) ||| 120867 ||| 2068 ||| 0.0
((-_-)) DJ CLEITON MIX - CANOINHAS - SC ((-_-)) - 47 9669-6133 ||| 141 ||| 5 ||| 0.0
((AUMAN)) ||| 71482 ||| 1407 ||| 0.0
(00)DJ MALUCO E ALADIM ||| 5 ||| 1 ||| 0.0
(255) ||| 236 ||| 89 ||| 0.0
(500) Days Of Summer ||| 96103 ||| 2815 ||| 0.0
(777-111) holiday ||| 28683 ||| 1850 ||| 0.0
(A Guy Called) Juno Laine ||| 163 ||| 4 ||| 0.0
(Cover Anberlin) Lucas e Tavares ||| 84 ||| 4 ||| 0.0
(G)I-DLE ||| 616205 ||| 17401 ||| 0.08828949802370942
(K)NoW＿NAME ||| 6135 ||| 163 ||| 0.0
(P)itch ||| 1371 ||| 206 ||| 0.0
(Rap-Moon.Com & RapMoon.Net)/Kardinal Offishall Ft. Akon, Sean Paul, Twista (Rap-Moon.Com & RapMoon.Net) ||| 590 ||| 80 ||| 0.0
(Sandy) Alex G ||| 1671790 ||| 77643 ||| 0.32666297393594795
(TurkBoard) Ebru Gundes ||| 773 ||| 41 ||| 0.0
(TurkBoard) Yasar ||| 1194 ||| 49 ||| 0.0
(V.E.G.A.) ||| 101444 ||| 4210 ||| 0.0
(WarezBg.Net) Beyonce ||| 32 ||| 7 ||| 0.0
(We Are) Performance ||| 248099 ||| 19027 ||| 0.10252747150434326
(WwW.BaniCrazy.NeT) One Direction ||| 400 ||| 40 ||| 0.0
(djtiago_fazendo_a_festa)danz ||| None ||| nan ||| nan
(ghost) ||| 41848 ||| 2981 ||| 0.0
(gnrworld.com) Guns N' Roses ||| 5150 ||| 1198 ||| 0.0
(hed) Planet Earth ||| 5068346 ||| 273081 ||| 0.5271115958638635
(həd) p.e. ||| 2506196 ||| 70537 ||| 0.3113646746728332
(lo:muêso) ||| 36079 ||| 2476 ||| 0.0
(null) ||| 585273 ||| 22730 ||| 0.13087016087842585
(sic)monic ||| 194700 ||| 7233 ||| 0.0
(www.Dl3nter.Net) ||| 419 ||| 147 ||| 0.0
(www.Music-Lounge.5x.to) ||| 25187 ||| 1136 ||| 0.0
(www.MusicBaran.org) ||| 4462 ||| 406 ||| 0.0
(www.sertanejodiario.com) ||| 135268 ||| 7162 ||| 0.0
(슈퍼주니어)Super Junior ||| 15845 ||| 1002 ||| 0.0
**Präçhîñßèstfrïêñds**, Xulfi ||| 106 ||| 19 ||| 0.0
*?AC@B ||| 892 ||| 143 ||| 0.0
*NSYNC ||| 12144505 ||| 908251 ||| 0.7186514993857532
*shels ||| 2081588 ||| 67160 ||| 0.303545373011824
+/- ||| 1320856 ||| 80543 ||| 0.33250754854219866
+10 ||| 9596 ||| 710 ||| 0.0
+2Domenico ||| 488 ||| 3 ||| 0.0
+44 ||| 13623063 ||| 631376 ||| 0.6606964724653015
+@+ ||| None ||| nan ||| nan
+Verb ||| 26501 ||| 4912 ||| 0.0
+\- ||| 112380 ||| 5295 ||| 0.0
+h∆b5+®∆ct-1 (∆bstract-ONE) ||| 3402 ||| 174 ||| 0.0
,618▲ ||| 130 ||| 8 ||| 0.0
- 7 Grand Ya'll f. Solar ||| 2 ||| 1 ||| 0.0
- CESAR MENOTTI E FABIANO- AO VIVO ||| 6 ||| 4 ||| 0.0
- For Ya Mind f. Zion I ||| 1 ||| 1 ||| 0.0
- Ray Charles ||| 78 ||| 11 ||| 0.0
- Zodiac ||| 13 ||| 1 ||| 0.0
- [Apnaymp3.com] ||| 3 ||| 3 ||| 0.0
-1 ||| 318209 ||| 6485 ||| 0.0
-123 min. ||| 323829 ||| 7728 ||| 0.0
-4- ft. Финт (IL) ||| 62 ||| 2 ||| 0.0
-45 ||| 224784 ||| 3872 ||| 0.0
-<Л-ё (Infinite) ||| 798 ||| 23 ||| 0.0
-<Л-ё ||| 1038 ||| 19 ||| 0.0
-= U2 =- ||| 9 ||| 1 ||| 0.0
-Elettronoir- ||| 44072 ||| 2392 ||| 0.0
-Infection- ||| 988 ||| 46 ||| 0.0
-M- ||| 1071577 ||| 56677 ||| 0.2764964448994337
-OZ- ||| 2244664 ||| 30054 ||| 0.17538768229380405
-Q ||| 126 ||| 26 ||| 0.0
-deTach- ||| 218488 ||| 7214 ||| 0.0
-djk-team- ||| 5714 ||| 212 ||| 0.0
-t De Sangre ||| 138424 ||| 9136 ||| 0.0
-真天地開闢集団-ジグザグ ||| 7357 ||| 129 ||| 0.0
.. Quintessence .. ||| 2313 ||| 73 ||| 0.0
... Who Calls So Loud ||| 229848 ||| 7615 ||| 0.0
... ||| 145868 ||| 22677 ||| 0.13049808839838606
